,raw_time,raw_win_pct,clean_time,JAX_win_pct
0,14:56 - 1st),WSH 63.9%,4,36.1
1,14:36 - 1st),WSH 60.7%,24,39.3
2,14:14 - 1st),WSH 58.2%,46,41.8
3,13:39 - 1st),WSH 53.3%,81,46.7
4,12:54 - 1st),WSH 59.0%,126,41.0
5,12:10 - 1st),WSH 58.0%,170,42.0
6,11:57 - 1st),WSH 59.6%,183,40.4
7,11:52 - 1st),WSH 59.7%,188,40.3
8,11:45 - 1st),WSH 57.1%,195,42.9
9,11:01 - 1st),WSH 61.6%,239,38.4
10,10:20 - 1st),WSH 64.9%,280,35.099999999999994
11,9:44 - 1st) ,WSH 63.3%,316,36.7
12,8:58 - 1st) ,WSH 70.8%,362,29.200000000000003
13,8:21 - 1st) ,WSH 67.0%,399,33.0
14,7:36 - 1st) ,WSH 73.2%,444,26.799999999999997
15,7:12 - 1st) ,WSH 72.7%,468,27.299999999999997
16,6:33 - 1st) ,WSH 72.3%,507,27.700000000000003
17,5:52 - 1st) ,WSH 74.5%,548,25.5
18,5:49 - 1st) ,WSH 74.5%,551,25.5
19,5:07 - 1st) ,WSH 75.6%,593,24.400000000000006
20,4:18 - 1st) ,WSH 73.1%,642,26.900000000000006
21,4:13 - 1st) ,WSH 75.9%,647,24.099999999999994
22,3:33 - 1st) ,WSH 73.6%,687,26.400000000000006
23,2:46 - 1st) ,WSH 73.5%,734,26.5
24,2:04 - 1st) ,WSH 74.0%,776,26.0
25,1:39 - 1st) ,WSH 77.6%,801,22.400000000000006
26,0:58 - 1st) ,WSH 76.2%,842,23.799999999999997
27,15:00 - 2nd),WSH 78.8%,900,21.200000000000003
28,14:19 - 2nd),WSH 77.8%,941,22.200000000000003
29,13:35 - 2nd),WSH 80.1%,985,19.900000000000006
30,12:52 - 2nd),WSH 78.6%,1028,21.400000000000006
31,12:46 - 2nd),WSH 77.4%,1034,22.599999999999994
32,12:39 - 2nd),WSH 79.9%,1041,20.099999999999994
33,11:47 - 2nd),WSH 84.8%,1093,15.200000000000003
34,11:41 - 2nd),WSH 85.9%,1099,14.099999999999994
35,10:59 - 2nd),WSH 87.0%,1141,13.0
36,10:42 - 2nd),WSH 86.0%,1158,14.0
37,10:01 - 2nd),WSH 85.0%,1199,15.0
38,9:56 - 2nd) ,WSH 84.3%,1204,15.700000000000003
39,9:07 - 2nd) ,WSH 83.9%,1253,16.099999999999994
40,8:39 - 2nd) ,WSH 85.8%,1281,14.200000000000003
41,8:30 - 2nd) ,WSH 84.4%,1290,15.599999999999994
42,7:59 - 2nd) ,WSH 82.4%,1321,17.599999999999994
43,7:54 - 2nd) ,WSH 81.6%,1326,18.400000000000006
44,7:16 - 2nd) ,WSH 80.3%,1364,19.700000000000003
45,6:34 - 2nd) ,WSH 76.0%,1406,24.0
46,5:50 - 2nd) ,WSH 75.9%,1450,24.099999999999994
47,5:09 - 2nd) ,WSH 79.5%,1491,20.5
48,5:07 - 2nd) ,WSH 81.6%,1493,18.400000000000006
49,4:59 - 2nd) ,WSH 86.1%,1501,13.900000000000006
50,4:19 - 2nd) ,WSH 85.1%,1541,14.900000000000006
51,3:35 - 2nd) ,WSH 87.0%,1585,13.0
52,2:50 - 2nd) ,WSH 85.7%,1630,14.299999999999997
53,2:11 - 2nd) ,WSH 87.7%,1669,12.299999999999997
54,2:00 - 2nd) ,WSH 90.0%,1680,10.0
55,1:32 - 2nd) ,WSH 87.3%,1708,12.700000000000003
56,1:22 - 2nd) ,WSH 85.5%,1718,14.5
57,1:14 - 2nd) ,WSH 86.2%,1726,13.799999999999997
58,1:08 - 2nd) ,WSH 81.5%,1732,18.5
59,0:46 - 2nd) ,WSH 79.9%,1754,20.099999999999994
60,0:37 - 2nd) ,WSH 80.6%,1763,19.400000000000006
61,0:27 - 2nd) ,WSH 81.7%,1773,18.299999999999997
62,0:16 - 2nd) ,WSH 87.3%,1784,12.700000000000003
63,15:00 - 3rd),WSH 86.4%,1800,13.599999999999994
64,14:55 - 3rd),WSH 87.9%,1805,12.099999999999994
65,14:16 - 3rd),WSH 86.3%,1844,13.700000000000003
66,13:32 - 3rd),WSH 85.2%,1888,14.799999999999997
67,12:47 - 3rd),WSH 84.5%,1933,15.5
68,11:58 - 3rd),WSH 86.7%,1982,13.299999999999997
69,11:30 - 3rd),WSH 84.9%,2010,15.099999999999994
70,10:56 - 3rd),WSH 77.6%,2044,22.400000000000006
71,10:13 - 3rd),WSH 73.4%,2087,26.599999999999994
72,9:39 - 3rd) ,WSH 76.2%,2121,23.799999999999997
73,8:50 - 3rd) ,WSH 72.2%,2170,27.799999999999997
74,8:29 - 3rd) ,WSH 73.3%,2191,26.700000000000003
75,8:04 - 3rd) ,WSH 77.1%,2216,22.900000000000006
76,7:04 - 3rd) ,WSH 74.0%,2276,26.0
77,6:54 - 3rd) ,WSH 71.7%,2286,28.299999999999997
78,6:45 - 3rd) ,WSH 71.0%,2295,29.0
79,6:07 - 3rd) ,WSH 68.2%,2333,31.799999999999997
80,5:36 - 3rd) ,WSH 70.4%,2364,29.599999999999994
81,5:30 - 3rd) ,WSH 74.6%,2370,25.400000000000006
82,4:48 - 3rd) ,WSH 69.5%,2412,30.5
83,4:11 - 3rd) ,WSH 67.3%,2449,32.7
84,3:35 - 3rd) ,WSH 62.1%,2485,37.9
85,3:05 - 3rd) ,WSH 64.1%,2515,35.900000000000006
86,2:36 - 3rd) ,WSH 64.8%,2544,35.2
87,1:58 - 3rd) ,WSH 64.4%,2582,35.599999999999994
88,1:24 - 3rd) ,WSH 66.0%,2616,34.0
89,1:16 - 3rd) ,WSH 64.2%,2624,35.8
90,1:07 - 3rd) ,WSH 62.3%,2633,37.7
91,0:42 - 3rd) ,WSH 65.6%,2658,34.400000000000006
92,15:00 - 4th),WSH 60.4%,2700,39.6
93,14:19 - 4th),WSH 54.9%,2741,45.1
94,13:40 - 4th),JAX 52.3%,2780,52.3
95,13:00 - 4th),JAX 53.5%,2820,53.5
96,12:55 - 4th),JAX 50.6%,2825,50.6
97,12:13 - 4th),WSH 51.8%,2867,48.2
98,12:04 - 4th),JAX 51.9%,2876,51.9
99,11:52 - 4th),JAX 74.8%,2888,74.8
100,11:45 - 4th),JAX 81.7%,2895,81.7
101,11:38 - 4th),JAX 83.4%,2902,83.4
102,11:04 - 4th),JAX 85.5%,2936,85.5
103,10:18 - 4th),JAX 77.7%,2982,77.7
104,9:36 - 4th) ,JAX 65.3%,3024,65.3
105,8:54 - 4th) ,JAX 67.4%,3066,67.4
106,8:14 - 4th) ,JAX 66.0%,3106,66.0
107,7:27 - 4th) ,JAX 61.3%,3153,61.3
108,6:48 - 4th) ,JAX 65.6%,3192,65.6
109,6:20 - 4th) ,JAX 64.6%,3220,64.6
110,6:17 - 4th) ,JAX 66.8%,3223,66.8
111,5:51 - 4th) ,JAX 61.7%,3249,61.7
112,5:22 - 4th) ,JAX 63.4%,3278,63.4
113,4:57 - 4th) ,JAX 58.3%,3303,58.3
114,4:30 - 4th) ,JAX 62.6%,3330,62.6
115,4:21 - 4th) ,JAX 52.9%,3339,52.9
116,3:35 - 4th) ,WSH 50.6%,3385,49.4
117,2:52 - 4th) ,JAX 51.5%,3428,51.5
118,2:08 - 4th) ,WSH 59.3%,3472,40.7
119,1:56 - 4th) ,WSH 50.8%,3484,49.2
120,1:46 - 4th) ,WSH 85.3%,3494,14.700000000000003
121,1:34 - 4th) ,WSH 84.4%,3506,15.599999999999994
122,1:30 - 4th) ,WSH 79.8%,3510,20.200000000000003
123,1:25 - 4th) ,WSH 78.7%,3515,21.299999999999997
124,1:10 - 4th) ,WSH 93.3%,3530,6.700000000000003
125,1:00 - 4th) ,WSH 99.9%,3540,0.09999999999999432
126,0:37 - 4th) ,WSH 99.9%,3563,0.09999999999999432
127,0:00 - 4th) ,WSH 100%,3600,0.0
